room_id,hotel_id,room_type,price,capacity
1,1,Стандарт,5000,1
2,1,Стандарт,7000,2
3,1,Люкс,15000,2
4,1,Президентский люкс,35000,4
5,2,Эконом,3000,1
6,2,Комфорт,5500,2
7,2,Семейный номер,8500,4
8,3,Бизнес-номер,6500,1
9,3,Джуниор сьют,12000,2
10,4,Делюкс,9000,2
11,4,Апартаменты,18000,3
12,5,Стандарт,6000,2
13,5,Люкс с видом на море,14000,2
14,6,Эконом,4500,2
15,7,Премиум номер,11000,2
16,7,Королевский сьют,25000,2
17,8,Стандарт,4000,1
18,8,Стандарт,6000,2
19,9,Бизнес-люкс,9500,2
20,10,Номер с террасой,8000,2
21,11,Стандарт,5000,2
22,12,Люкс,13000,2
23,13,Семейный номер,7500,5
24,14,Эконом,3500,1
25,15,Делюкс,8500,2
26,16,Бизнес-номер,7000,1
27,17,Люкс с джакуззи,16000,2
28,18,Стандарт,5500,2
29,19,Апартаменты,12000,3
30,20,Президентский люкс,30000,4
31,21,Стандарт,4500,2
32,22,Люкс,11000,2
33,23,Семейный номер,6500,4
34,24,Эконом,3000,1
35,25,Делюкс,7500,2
36,26,Бизнес-номер,6000,1
37,27,Люкс с видом на горы,14000,2
38,28,Стандарт,5000,2
39,29,Апартаменты,10000,3
40,30,Президентский люкс,28000,4
41,1,Бизнес-номер,8000,1
42,2,Люкс с балконом,9500,2
43,3,Семейный номер,9000,4
44,4,Эконом,4000,2
45,5,Делюкс с видом на море,12000,2
46,6,Бизнес-номер,6500,1
47,7,Люкс с камином,18000,2
48,8,Стандарт,7000,3
49,9,Апартаменты,15000,3
50,10,Президентский люкс,32000,4
51,11,Стандарт,5500,2
52,12,Люкс с джакуззи,17000,2
53,13,Семейный номер,8000,4
54,14,Эконом,3200,1
55,15,Делюкс,9000,2
56,16,Бизнес-номер,7200,1
57,17,Люкс с террасой,15000,2
58,18,Стандарт,5800,2
59,19,Апартаменты,13000,3
60,20,Президентский люкс,35000,4
61,31,Стандарт,6000,1
62,31,Стандарт,9000,2
63,31,Люкс с видом на Кремль,20000,2
64,31,Президентский сьют,40000,3
65,31,Бизнес-номер,12000,1
66,32,Эконом,4500,2
67,32,Номер с видом на море,12000,2
68,32,Семейный люкс,18000,4
69,32,Делюкс с балконом,15000,2
70,32,Вилла у бассейна,25000,3
